"determinand_id","determinand_desc","definition","unit_of_measure","unit_of_measure_desc"
4064,"Fluoroxypyr","Fluroxypyr","ug/l","MICROGRAM PER LITRE"
7181,"ClPyrphosMe","Chlorpyrifos-methyl","ug/l","MICROGRAM PER LITRE"
7725,"Flow-MeanDay","Flow : Daily mean","m3/d","CUBIC METRE PER DAY"
7159,"FONOFOS","Fonofos","ug/l","MICROGRAM PER LITRE"
3410,"Ni- Filtered","Nickel, Dissolved","ug/l","MICROGRAM PER LITRE"
6059,"Boron - as B","Boron","ug/l","MICROGRAM PER LITRE"
6050,"Manganse-Mn","Manganese","ug/l","MICROGRAM PER LITRE"
5577,"HexachlrbnzW","Hexachlorobenzene : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
562,"Endrin","Endrin","ug/l","MICROGRAM PER LITRE"
9851,"PirimiphsMyl","Pirimiphos-methyl","ug/l","MICROGRAM PER LITRE"
487,"HCH Alpha","HCH -alpha","ug/l","MICROGRAM PER LITRE"
7694,"SALIN CALC","Salinity : Calculated from Chloride","g/l","GRAM PER LITRE"
9814,"2Chlorophenl","2-Chlorophenol","ug/l","MICROGRAM PER LITRE"
5558,"3,5-Xylenol","3,5-Dimethylphenol :- {3,5-Xylenol}","ug/l","MICROGRAM PER LITRE"
6462,"Nickel - Ni","Nickel","ug/l","MICROGRAM PER LITRE"
714,"B-[ghi]-pery","Benzo(g,h,i)Perylene","ug/l","MICROGRAM PER LITRE"
9770,"PCB Con 101","PCB - 101","ug/l","MICROGRAM PER LITRE"
9258,"PCB Con 156","PCB - 156","ug/l","MICROGRAM PER LITRE"
6458,"Mn- Filtered","Manganese, Dissolved","ug/l","MICROGRAM PER LITRE"
9943,"N Oxid Filt","Nitrogen, Total Oxidised, Filtered as N","mg/l","MILLIGRAM PER LITRE"
6368,"Colfrm Conf","Coliforms, Total : Confirmed","no/100ml","NUMBER PER HUNDRED MILLILITRES"
9993,"NH3 filt N","Ammoniacal Nitrogen, Filtered as N","mg/l","MILLIGRAM PER LITRE"
4065,"Bentazone","Bentazone","ug/l","MICROGRAM PER LITRE"
7914,"DEPTH B.G.L.","Borehole : Depth to liquid :- {Ground level to liquid}","m","METRE"
99,"C - Organic","Carbon, Organic, Total as C :- {TOC}","mg/l","MILLIGRAM PER LITRE"
9768,"PCB Con 028","PCB - 028","ug/l","MICROGRAM PER LITRE"
9807,"PCB Tot Cong","PCB : Total Congeners 28, 52, 101.118,138,153,180","ug/l","MICROGRAM PER LITRE"
6615,"Chlorothalnl","Chlorothalonil","ug/l","MICROGRAM PER LITRE"
9856,"OrthophsFilt","Orthophosphate, Filtered as P","mg/l","MILLIGRAM PER LITRE"
9989,"Trifluralin","Trifluralin","ug/l","MICROGRAM PER LITRE"
9475,"DemetonSMyl","Demeton-S-methyl","ug/l","MICROGRAM PER LITRE"
9338,"Bendiocarb","Bendiocarb","ug/l","MICROGRAM PER LITRE"
9197,"PCB Con 105","PCB - 105","ug/l","MICROGRAM PER LITRE"
3549,"Mecoprop","Mecoprop","ug/l","MICROGRAM PER LITRE"
3545,"2,4-D","2,4-D :- {2,4-Dichlorophenoxyacetic acid}","ug/l","MICROGRAM PER LITRE"
535,"Malathion","Malathion","ug/l","MICROGRAM PER LITRE"
3328,"TetClEthene","Tetrachloroethylene :- {Perchloroethylene}","ug/l","MICROGRAM PER LITRE"
8654,"Ni - wet wt","Nickel : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3408,"Zn- Filtered","Zinc, Dissolved","ug/l","MICROGRAM PER LITRE"
7202,"Tot Drins(4)","Drins : Total (Aldrin, Dieldrin, Endrin, Isodrin)","ug/l","MICROGRAM PER LITRE"
3527,"Flow l/s","Flow, instantaneous","l/s","LITRE PER SECOND"
177,"Fluoride - F","Fluoride","mg/l","MILLIGRAM PER LITRE"
9094,"2,5-Xylenol","2,5-Dimethylphenol :- {2,5-Xylenol}","ug/l","MICROGRAM PER LITRE"
3461,"F Coli Pre","Coliforms, Faecal : Presumptive : MF","no/100ml","NUMBER PER HUNDRED MILLILITRES"
8416,"B-[a]-antWW","Benzo(a)Anthracene : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3002,"Atrazine","Atrazine","ug/l","MICROGRAM PER LITRE"
7888,"CHLOR A","Chlorophyll : Methanol Extract","ug/l","MICROGRAM PER LITRE"
9522,"Phenol","Phenol","ug/l","MICROGRAM PER LITRE"
270,"Hg - Dry Wt","Mercury : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
162,"Alky pH 4.5","Alkalinity to pH 4.5 as CaCO3","mg/l","MILLIGRAM PER LITRE"
3282,"BROMO-DCM","Bromodichloromethane","ug/l","MICROGRAM PER LITRE"
144,"Sld VSus@500","Solids, Volatile at 500 C","mg/l","MILLIGRAM PER LITRE"
7717,"SHRIMPM TOX","Toxicity Test : Shrimp, 3 Day : Semistatic LC50","%","PERCENTAGE"
1556,"DDT(PP')WWt","DDT -pp : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
1118,"Fenthion","Fenthion","ug/l","MICROGRAM PER LITRE"
209,"K- Filtered","Potassium, Dissolved","mg/l","MILLIGRAM PER LITRE"
3113,"Chloroprophm","Chlorpropham","ug/l","MICROGRAM PER LITRE"
6399,"B-[a]-pyrene","Benzo(a)Pyrene","ug/l","MICROGRAM PER LITRE"
6972,"Methomyl","Methomyl","ug/l","MICROGRAM PER LITRE"
6487,"Triazophos","Triazophos","ug/l","MICROGRAM PER LITRE"
6040,"Tin - as Sn","Tin","ug/l","MICROGRAM PER LITRE"
3546,"245-T","2,4,5-T :- {2,4,5-Trichlorophenoxyacetic acid}","ug/l","MICROGRAM PER LITRE"
3170,"Cond - Field","Conductivity : In Situ","us/cm","MICROSIEMENS PER CENTIMETRE"
92,"COD as O2","Chemical Oxygen Demand :- {COD}","mg/l","MILLIGRAM PER LITRE"
67,"Transparency","Transparency","m","METRE"
3925,"Monolinuron","Monolinuron","ug/l","MICROGRAM PER LITRE"
6450,"Cu Filtered","Copper, Dissolved","ug/l","MICROGRAM PER LITRE"
3334,"Trichloroeth","Trichloroethylene :- {Trichloroethene}","ug/l","MICROGRAM PER LITRE"
106,"Cd Filtered","Cadmium, Dissolved","ug/l","MICROGRAM PER LITRE"
6449,"Bromoxynil","Bromoxynil","ug/l","MICROGRAM PER LITRE"
6020,"NGR Northing","NGR : Northing","ngr","NATIONAL GRID REFERENCE (METRIC)"
9836,"1,1-Dichloro","1,1-Dichloroethylene :- {1,1-Dichloroethene}","ug/l","MICROGRAM PER LITRE"
6656,"MTBE","MTBE :- {Methyl tert-butyl ether}","ug/l","MICROGRAM PER LITRE"
9773,"PCB Con 153","PCB - 153","ug/l","MICROGRAM PER LITRE"
736,"Fluoranthene","Fluoranthene","ug/l","MICROGRAM PER LITRE"
3283,"Bromoform","Bromoform :- {Tribromomethane}","ug/l","MICROGRAM PER LITRE"
7715,"SHRIMP TOX","Toxicity Test : Shrimp, 1 Day : Semistatic LC50","%","PERCENTAGE"
483,"Aldrin","Aldrin","ug/l","MICROGRAM PER LITRE"
3118,"Linuron","Linuron","ug/l","MICROGRAM PER LITRE"
8652,"Cr - wet wt","Chromium : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
9639,"OdourPhenolc","Odour : Phenolic","pres/nf","PRESENT/NOT FOUND"
9494,"Isodrin","Isodrin","ug/l","MICROGRAM PER LITRE"
6062,"Barium - Ba","Barium","ug/l","MICROGRAM PER LITRE"
7887,"CHLOROPHYLL","Chlorophyll : Acetone Extract","ug/l","MICROGRAM PER LITRE"
3409,"Cr- Filtered","Chromium, Dissolved","ug/l","MICROGRAM PER LITRE"
207,"Sodium - Na","Sodium","mg/l","MILLIGRAM PER LITRE"
103,"Hg Filtered","Mercury, Dissolved","ug/l","MICROGRAM PER LITRE"
8995,"2,3,5,6-TClT","2,3,5,6-Tetrachlorothioanisole","ug/l","MICROGRAM PER LITRE"
3001,"Simazine","Simazine","ug/l","MICROGRAM PER LITRE"
6699,"TitaniumFilt","Titanium, Filtered","ug/l","MICROGRAM PER LITRE"
3915,"HCHs ABGDE","HCH : Total Isomers (Alpha, Beta, Gamma, Delta, Epsilon)","ng/l","NANOGRAM PER LITRE"
7668,"NO FLOW/SAMP","No flow /No sample","coded","Coded Result"
9811,"112TCEthan","1,1,2-Trichloroethane","ug/l","MICROGRAM PER LITRE"
7568,"DiMeformamid","Dimethyl formamide :- {DMF}","ug/l","MICROGRAM PER LITRE"
6057,"Aluminium-Al","Aluminium","ug/l","MICROGRAM PER LITRE"
7170,"CL2 FREE","Chlorine Free : In Situ as Cl2","mg/l","MILLIGRAM PER LITRE"
6460,"Fe- Filt","Iron, Dissolved","ug/l","MICROGRAM PER LITRE"
1049,"Carbon Tet","Carbon tetrachloride :- {Tetrachloromethane}","ug/l","MICROGRAM PER LITRE"
9774,"PCB Con 180","PCB - 180","ug/l","MICROGRAM PER LITRE"
7155,"PHENMEDIPHAM","Phenmedipham","ug/l","MICROGRAM PER LITRE"
9978,"ClpyrifosEt","Chlorpyrifos-ethyl","ug/l","MICROGRAM PER LITRE"
7053,"Methabnzthzn","Methabenzthiazuron","ug/l","MICROGRAM PER LITRE"
3791,"2,4-DB","2,4-DB :- {4-(2,4-dichlorophenoxy)butyric acid}","ug/l","MICROGRAM PER LITRE"
8383,"Xylene Tot","Dimethylbenzene : Sum of (1,2- 1,3- 1,4-) :- {Xylene}","ug/l","MICROGRAM PER LITRE"
666,"Oil,Grse,Fat","Oils, Grease and Fats","mg/l","MILLIGRAM PER LITRE"
47,"Flow Instant","Flow, instantaneous","ml/d","MEGALITRE PER DAY"
3790,"MCPB","MCPB :- {4-Chloro-2-methylphenoxybutyric acid}","ug/l","MICROGRAM PER LITRE"
527,"Heptachlor","Heptachlor","ug/l","MICROGRAM PER LITRE"
6,"Sample Depth","Sample Depth below surface","m","METRE"
9348,"Chlortoluron","Chlorotoluron","ug/l","MICROGRAM PER LITRE"
7154,"ETHOFUMESATE","Ethofumesate","ug/l","MICROGRAM PER LITRE"
72,"Colour Filt","Colour, Filtered","hazen","COLOUR"
9091,"25Dichlrphnl","2,5-Dichlorophenol","ug/l","MICROGRAM PER LITRE"
3784,"Toluene","Toluene :- {Methylbenzene}","ug/l","MICROGRAM PER LITRE"
3086,"Carbofuran","Carbofuran","ug/l","MICROGRAM PER LITRE"
118,"Nitrite-N","Nitrite as N","mg/l","MILLIGRAM PER LITRE"
3548,"MCPA","MCPA :- {4-Chloro-2-methylphenoxyacetic acid}","ug/l","MICROGRAM PER LITRE"
7723,"ATRAZ+SIMAZ","Atrazine and Simazine","ug/l","MICROGRAM PER LITRE"
175,"Cyanide - CN","Cyanide as CN","mg/l","MILLIGRAM PER LITRE"
569,"EndosulphanA","Endosulfan A","ug/l","MICROGRAM PER LITRE"
3792,"Benazolin","Benazolin","ug/l","MICROGRAM PER LITRE"
6485,"Nitrite Filt","Nitrite, Filtered as N","mg/l","MILLIGRAM PER LITRE"
166,"Solids @105C","Residual mass: after drying at 105 C","%","PERCENTAGE"
9051,"1,2,4-TCB","1,2,4-Trichlorobenzene","ug/l","MICROGRAM PER LITRE"
205,"Na- Filtered","Sodium, Dissolved","mg/l","MILLIGRAM PER LITRE"
3458,"ColfmF Conf","Coliforms, Faecal : Confirmed","no/100ml","NUMBER PER HUNDRED MILLILITRES"
7044,"IonicBalance","Ionic Balance","%","PERCENTAGE"
6030,"Silver - Ag","Silver","ug/l","MICROGRAM PER LITRE"
237,"Magnesium-Mg","Magnesium","mg/l","MILLIGRAM PER LITRE"
3555,"Triclopyr","Triclopyr","ug/l","MICROGRAM PER LITRE"
9002,"Metazachlor","Metazachlor","ug/l","MICROGRAM PER LITRE"
9816,"24Dichloropl","2,4-Dichlorophenol","ug/l","MICROGRAM PER LITRE"
6534,"1,1,1,2 -TET","1,1,1,2-Tetrachloroethane","ug/l","MICROGRAM PER LITRE"
1500,"HCHGamma WWt","HCH -gamma : Wet Wt :- {Lindane}","ug/kg","MICROGRAM PER KILOGRAM"
3314,"HeptachlrEpx","Heptachlor epoxide (cis- and trans-)","ng/l","NANOGRAM PER LITRE"
9772,"PCB Con 138","PCB - 138","ug/l","MICROGRAM PER LITRE"
246,"Zn - Dry Wt","Zinc : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
7180,"HEMPA","HEMPA :- {Hexamethylphosphoramide}","ug/l","MICROGRAM PER LITRE"
422,"Fe - Dry Wt","Iron : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
828,"CO2 % v/v","Carbon Dioxide : as % V/V CO2","%","PERCENTAGE"
6046,"Arsenic - As","Arsenic","ug/l","MICROGRAM PER LITRE"
9892,"Pendimethaln","Pendimethalin","ug/l","MICROGRAM PER LITRE"
6453,"Ag- Filtered","Silver, Dissolved","ug/l","MICROGRAM PER LITRE"
9959,"Pirimicarb","Pirimicarb","ug/l","MICROGRAM PER LITRE"
6776,"Fenpropimrph","Fenpropimorph","ug/l","MICROGRAM PER LITRE"
1173,"Sld Sus@500C","Solids, Suspended, non-volatile at 500 C","mg/l","MILLIGRAM PER LITRE"
9769,"PCB Con 052","PCB - 052","ug/l","MICROGRAM PER LITRE"
6687,"Salinty in-f","Salinity : In Situ","g/l","GRAM PER LITRE"
3211,"Malachite Gr","Malachite Green","mg/l","MILLIGRAM PER LITRE"
7135,"TRIALLATE","Tri-allate","ug/l","MICROGRAM PER LITRE"
211,"Potassium- K","Potassium","mg/l","MILLIGRAM PER LITRE"
9350,"2,3,5,6-Tetr","2,3,5,6-Tetrachloroaniline","ug/l","MICROGRAM PER LITRE"
9818,"245Trichlphl","2,4,5-Trichlorophenol","ug/l","MICROGRAM PER LITRE"
3550,"Dicamba","Dicamba","ug/l","MICROGRAM PER LITRE"
559,"TDE (PP)","TDE -pp","ug/l","MICROGRAM PER LITRE"
581,"DDE (OP')","DDE -op","ug/l","MICROGRAM PER LITRE"
3976,"Turbdty in-s","Turbidity : In Situ","ftu","FORMAZIN TURBIDITY UNIT"
9343,"Carbaryl","Carbaryl","ug/l","MICROGRAM PER LITRE"
8649,"Cu - wet wt","Copper : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
9921,"pH Inst unit","pH : Instrumental","phunits","PH UNITS"
6019,"NGR Easting","NGR : Easting","ngr","NATIONAL GRID REFERENCE (METRIC)"
9050,"1,2,3-TCB","1,2,3-Trichlorobenzene","ug/l","MICROGRAM PER LITRE"
7245,"Dimethylamin","Dimethylamine","mg/l","MILLIGRAM PER LITRE"
9519,"Carbophenthn","Carbophenothion","ug/l","MICROGRAM PER LITRE"
8648,"Hg - wet wt","Mercury : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7174,"APR 480/665","Algal pigment ratio 480/665","unitless","UNITLESS VALUE"
1496,"HCHDelta WWt","HCH -delta : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
5561,"m-Cresol","3-Methylphenol :- {m-Cresol}","ug/l","MICROGRAM PER LITRE"
461,"DtrgtAncSyn","Detergents, Anionic","mg/l","MILLIGRAM PER LITRE"
831,"Oxygen % v/v","Oxygen : as % V/V O2","%","PERCENTAGE"
6635,"Desmetryne","Desmetryn","ug/l","MICROGRAM PER LITRE"
6971,"Methiocarb","Methiocarb","ug/l","MICROGRAM PER LITRE"
7692,"O SOL.REACT","Phosphorus, Soluble reactive, GF/C Filtered","mg/l","MILLIGRAM PER LITRE"
6423,"StrepF PMF","Streptococci : Faecal : Presumptive : MF","no/100ml","NUMBER PER HUNDRED MILLILITRES"
3009,"Terbutryne","Terbutryn","ug/l","MICROGRAM PER LITRE"
9815,"4ClPhenol","4-Chlorophenol","ug/l","MICROGRAM PER LITRE"
738,"Methanal","Formaldehyde :- {Methanal}","mg/l","MILLIGRAM PER LITRE"
731,"B-[b]-fluora","Benzo(b)Fluoranthene","ug/l","MICROGRAM PER LITRE"
573,"TDE (OP)","TDE -op","ug/l","MICROGRAM PER LITRE"
9857,"SiO2 Filt","Silicate, Filtered as SiO2","mg/l","MILLIGRAM PER LITRE"
4117,"Ethylbenzene","Ethylbenzene","ug/l","MICROGRAM PER LITRE"
3290,"Chlorobenzen","Chlorobenzene","ug/l","MICROGRAM PER LITRE"
376,"Cr - Dry Wt","Chromium : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
239,"Ca Filtered","Calcium, Dissolved","mg/l","MILLIGRAM PER LITRE"
503,"Chlorfenvphs","Chlorfenvinphos","ug/l","MICROGRAM PER LITRE"
6980,"Oxamyl","Oxamyl","ug/l","MICROGRAM PER LITRE"
7359,"AtPressure","Weather : Atmospheric pressure","mbar","MILLIBAR"
1492,"HCH Beta WWt","HCH -beta : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
9703,"3Chlorophenl","3-Chlorophenol","ug/l","MICROGRAM PER LITRE"
3106,"GCMS S-Vol","GCMS Screen : Semi-Volatile Screen: Semi Quantitative","unitless","UNITLESS VALUE"
7718,"SHRIMP TOX","Toxicity Test : Shrimp, 4 Day : Semistatic LC50","%","PERCENTAGE"
1119,"ParathionMyl","Parathion-methyl","ug/l","MICROGRAM PER LITRE"
6987,"Propoxur","Propoxur","ug/l","MICROGRAM PER LITRE"
3811,"Diuron","Diuron","ug/l","MICROGRAM PER LITRE"
182,"SiO2 Rv","Silica, reactive as SiO2","mg/l","MILLIGRAM PER LITRE"
3525,"Tin Org - Sn","Organo Tin : Total as Sn","ug/l","MICROGRAM PER LITRE"
6569,"2,6-Xylenol","2,6-Dimethylphenol :- {2,6-Xylenol}","ug/l","MICROGRAM PER LITRE"
9053,"WtrLvl BDm","Water Level : Metres below datum","m","METRE"
7716,"SHRIMP TOX","Toxicity Test : Shrimp, 2 Day : Semistatic LC50","%","PERCENTAGE"
6577,"3,4 Xylenol","3,4-Dimethylphenol :- {3,4-Xylenol}","ug/l","MICROGRAM PER LITRE"
8109,"CHCl3 Extrac","Substances Extractable by Chloroform","ug/l","MICROGRAM PER LITRE"
9634,"Propazine","Propazine","ug/l","MICROGRAM PER LITRE"
7081,"TCB Tot","Trichlorobenzene : Total (123-, 124-, 135-)","ug/l","MICROGRAM PER LITRE"
491,"HCH Beta","HCH -beta","ug/l","MICROGRAM PER LITRE"
9715,"Azinphos Myl","Azinphos-methyl","ug/l","MICROGRAM PER LITRE"
235,"Mg Filtered","Magnesium, Dissolved","mg/l","MILLIGRAM PER LITRE"
8650,"Ag - wet wt","Silver : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7859,"SO4dis","Sulphate, Dissolved as SO4","mg/l","MILLIGRAM PER LITRE"
9052,"1,3,5-TCB","1,3,5-Trichlorobenzene","ug/l","MICROGRAM PER LITRE"
7146,"4D SHRIMP","Toxicity Test : C.Crangon, 4 Day LC50","%","PERCENTAGE"
3117,"Isoproturon","Isoproturon","ug/l","MICROGRAM PER LITRE"
6447,"Dimethoate","Dimethoate","ug/l","MICROGRAM PER LITRE"
749,"Phenols Mono","Phenols : Monohydric as Phenol","mg/l","MILLIGRAM PER LITRE"
241,"Calcium - Ca","Calcium","mg/l","MILLIGRAM PER LITRE"
829,"Methane %v/v","Methane : as % V/V","%","PERCENTAGE"
64,"OdorThresNum","Odour : Threshold Number at 25 C","ton","THRESHOLD ODOUR NUMBER"
7190,"CHLORIDE GFC","Chloride, GF/C Filtered","mg/l","MILLIGRAM PER LITRE"
9073,"Carbetamide","Carbetamide","ug/l","MICROGRAM PER LITRE"
9344,"Aldicarb","Aldicarb","ug/l","MICROGRAM PER LITRE"
5548,"Oil ID","Oil Identification","unitless","UNITLESS VALUE"
7184,"Misc Analysi","Miscellaneous non-routine analysis","yes/no","YES(1) OR NO(0)"
1560,"TDE (PP')WWt","TDE -pp : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
5562,"o-Cresol","2-Methylphenol :- {o-Cresol}","ug/l","MICROGRAM PER LITRE"
329,"Pb - Dry Wt","Lead : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
3781,"Benzene","Benzene","ug/l","MICROGRAM PER LITRE"
7191,"SCHRADAN","Schradan :- {Pestox}","ug/l","MICROGRAM PER LITRE"
353,"V - Dry Wt","Vanadium : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
3144,"PCB 28 WWt","PCB - 028 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
4061,"TBTCationDWT","Tributyl Tin : Dry Wt as Cation","ug/kg","MICROGRAM PER KILOGRAM"
404,"Mn - Dry Wt","Manganese : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
9911,"Trietazine","Trietazine","ug/l","MICROGRAM PER LITRE"
746,"Ind123pyrene","Indeno(1,2,3-cd)pyrene","ug/l","MICROGRAM PER LITRE"
9479,"Mevinphos","Mevinphos","ug/l","MICROGRAM PER LITRE"
4370,"Cr Hexavalnt","Chromium Hexavalent","ug/l","MICROGRAM PER LITRE"
9618,"1,2-DCB","1,2-Dichlorobenzene","ug/l","MICROGRAM PER LITRE"
8944,"TriBT Cation","Tributyl Tin as Cation","ug/l","MICROGRAM PER LITRE"
6047,"Se- Filtered","Selenium, Dissolved","ug/l","MICROGRAM PER LITRE"
570,"EndosulphanB","Endosulfan B","ug/l","MICROGRAM PER LITRE"
8403,"PhennthrnWW","Phenanthrene : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
6875,"cpH4.5 H2SO4","Acidity to pH 4.5 as H2SO4","mg/l","MILLIGRAM PER LITRE"
3305,"Endosul-Tot","Endosulfan : Total (A + B)","ng/l","NANOGRAM PER LITRE"
8091,"AIR TEMP","Weather : Temperature of Air","cel","CELSIUS"
3150,"PCB 101 WWt","PCB - 101 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
9716,"Fenitrothion","Fenitrothion","ug/l","MICROGRAM PER LITRE"
73,"Cypermethrin","Cypermethrin","ug/l","MICROGRAM PER LITRE"
